type,input_type,time_ms,key
scroll,scroll_down,147241.981,dy=-1
scroll,scroll_down,148006.647,dy=-1
scroll,scroll_down,148023.687,dy=-1
scroll,scroll_down,148040.772,dy=-1
scroll,scroll_down,148057.282,dy=-1
scroll,scroll_down,148073.116,dy=-1
scroll,scroll_down,148090.579,dy=-1
scroll,scroll_down,148106.341,dy=-1
scroll,scroll_down,148124.010,dy=-1
scroll,scroll_down,148139.301,dy=-1
scroll,scroll_down,148156.803,dy=-1
scroll,scroll_down,148172.755,dy=-1
keydown,other,148710.648,Key.alt
keydown,space,148765.669,Key.space
keyup,space,148838.522,Key.space
keyup,other,148918.278,Key.alt
keydown,other,151241.843,Key.cmd
keyup,other,152001.583,Key.cmd
scroll,scroll_down,153273.692,dy=-1
scroll,scroll_up,154074.051,dy=1
keydown,other,154410.239,Key.cmd
keyup,other,155167.407,Key.cmd
keydown,other,156292.054,Key.cmd
keyup,other,156547.779,Key.tab
click,left_click,158374.775,left
click,left_click,158375.454,left
click,left_click,160173.439,left
click,left_click,160173.790,left
click,left_click,160339.649,left
click,left_click,160358.208,left
click,left_click,162443.140,left
click,left_click,162443.572,left
click,left_click,164043.044,left
click,left_click,164043.809,left
scroll,scroll_up,169005.922,dy=1
scroll,scroll_up,169028.229,dy=1
scroll,scroll_up,169042.236,dy=1
scroll,scroll_up,169571.407,dy=1
scroll,scroll_up,169591.228,dy=1
scroll,scroll_up,169606.141,dy=1
scroll,scroll_up,170457.288,dy=1
scroll,scroll_up,170477.242,dy=1
scroll,scroll_up,170492.995,dy=1
scroll,scroll_down,172138.068,dy=-1
scroll,scroll_down,172158.628,dy=-1
scroll,scroll_down,172173.480,dy=-1
scroll,scroll_down,172190.961,dy=-1
scroll,scroll_down,172207.171,dy=-1
scroll,scroll_down,172224.389,dy=-1
scroll,scroll_down,172239.987,dy=-1
scroll,scroll_down,172247.181,dy=-1
scroll,scroll_down,172257.268,dy=-1
scroll,scroll_down,172263.719,dy=-1
scroll,scroll_down,172273.958,dy=-1
scroll,scroll_down,172280.681,dy=-1
scroll,scroll_down,172291.612,dy=-1
scroll,scroll_down,172296.917,dy=-1
scroll,scroll_down,172306.946,dy=-1
scroll,scroll_down,172313.617,dy=-1
scroll,scroll_down,172324.754,dy=-1
scroll,scroll_down,172329.696,dy=-1
scroll,scroll_down,172356.326,dy=-1
scroll,scroll_down,172390.711,dy=-2
scroll,scroll_down,172423.712,dy=-1
scroll,scroll_down,172457.993,dy=-1
keydown,other,176840.296,c
keyup,other,176908.139,c
keydown,other,178572.391,Key.esc
keyup,other,179114.961,k
keydown,other,179356.559,n
keyup,other,179418.694,n
keydown,other,179458.422,w
keydown,space,179506.857,Key.space
keyup,other,179510.565,e
keyup,space,179618.410,Key.space
keydown,other,179664.502,p
keyup,other,179732.309,p
keydown,other,179812.372,o
keyup,other,179844.173,r
keydown,other,179985.271,j
keyup,other,180045.089,j
keydown,other,180105.756,c
keyup,other,180145.220,e
keydown,other,180756.613,Key.down
keyup,other,180848.288,Key.down
keydown,other,181609.771,Key.enter
keyup,other,181682.163,Key.enter
click,left_click,184290.651,left
click,left_click,184374.595,left
click,left_click,185256.244,left
click,left_click,185357.387,left
click,left_click,186122.970,left
click,left_click,186222.589,left
click,left_click,187573.449,left
click,left_click,187656.206,left
click,left_click,187941.096,left
click,left_click,188022.627,left
click,left_click,188741.642,left
click,left_click,188822.967,left
click,left_click,190174.829,left
click,left_click,190257.492,left
click,left_click,191140.976,left
click,left_click,191207.956,left
click,left_click,191576.202,left
click,left_click,191644.260,left
keydown,other,192789.272,Key.shift
keyup,other,192960.161,M
keydown,other,192994.333,e
keyup,other,193094.455,e
keydown,other,193150.743,s
keyup,other,193278.255,s
keydown,other,195889.366,Key.alt
keyup,other,196022.254,Key.backspace
keydown,other,196191.636,Key.shift
keyup,other,196342.272,C
keydown,other,196481.405,r
keyup,other,196593.501,r
keydown,other,196714.369,t
keyup,other,196822.504,t
keydown,other,203328.382,Key.backspace
keyup,other,203375.055,Key.backspace
keydown,other,204507.879,i
keyup,other,204563.828,i
keydown,other,204680.432,n
keyup,other,204728.379,n
keydown,other,204809.429,g
keyup,other,204833.406,g
keydown,space,204932.717,Key.space
keydown,other,204960.704,a
keyup,space,204992.719,Key.space
keyup,other,205056.756,a
keydown,space,205119.006,Key.space
keyup,space,205162.688,Key.space
keydown,other,205396.810,s
keyup,other,205512.731,s
keydown,other,205642.297,a
keyup,other,205722.632,a
keydown,other,205844.733,c
keyup,other,205932.534,c
keydown,space,205973.203,Key.space
keyup,space,206048.290,Key.space
keydown,other,206094.113,r
keyup,other,206189.407,r
keydown,other,206275.364,e
keyup,other,206340.924,l
keydown,other,206911.555,Key.backspace
keyup,other,206975.417,Key.backspace
keydown,other,207039.930,Key.backspace
keyup,other,207094.906,Key.backspace
keydown,other,207192.230,l
keyup,other,207256.337,l
keydown,other,207345.936,v
keyup,other,207429.779,v
keydown,other,207473.081,n
keyup,other,207501.997,a
keydown,other,207575.990,c
keyup,other,207668.143,c
keydown,space,207712.041,Key.space
keyup,space,207792.044,Key.space
keydown,other,207866.647,j
keyup,other,207910.688,j
keydown,other,207969.106,u
keyup,other,208040.624,u
keydown,other,208048.521,d
keyup,other,208132.697,d
keydown,other,208234.875,g
keyup,other,208326.964,g
keydown,other,208498.375,Key.tab
keyup,other,208562.463,Key.tab
click,left_click,209440.155,left
click,left_click,209522.630,left
keydown,other,209809.470,Key.shift
keyup,other,209956.950,Key.shift
keydown,other,210055.573,r
keyup,other,210155.782,r
keydown,other,210257.384,m
keyup,other,210313.595,m
keydown,space,210324.012,Key.space
keyup,space,210357.174,Key.space
click,left_click,211806.664,left
click,left_click,211889.411,left
keydown,other,212017.161,Key.shift
keyup,other,212165.213,Key.shift
keydown,other,212241.269,n
keyup,other,212290.641,n
keydown,space,212303.630,Key.space
keyup,space,212380.899,Key.space
keydown,other,212440.121,Key.shift
keyup,other,212539.850,L
keydown,other,212597.385,L
keyup,other,212645.413,L
keydown,other,212725.431,M
keyup,other,212789.269,M
keydown,space,212789.665,Key.space
keyup,space,212901.533,Key.space
keydown,other,212960.850,j
keyup,other,213022.448,j
keydown,other,213073.318,u
keyup,other,213112.186,u
keydown,other,213266.212,g
keyup,other,213340.084,g
keydown,space,213402.263,Key.space
keyup,space,213494.048,Key.space
keydown,other,213556.144,t
keyup,other,213655.584,t
keydown,space,213664.990,Key.space
keyup,space,213756.878,Key.space
keydown,other,213885.799,l
keyup,other,213945.487,l
keydown,other,214189.142,Key.backspace
keyup,other,214252.471,Key.backspace
keydown,other,214364.407,m
keyup,other,214428.335,m
keydown,other,214432.205,e
keyup,other,214532.257,e
keydown,other,214544.430,s
keyup,other,214584.343,a
keydown,other,214668.436,u
keyup,other,214673.395,s
keydown,other,214756.398,r
keyup,other,214857.228,r
keydown,space,214889.119,Key.space
keyup,space,214960.602,Key.space
keydown,other,215028.749,s
keyup,other,215144.775,s
keydown,other,215246.368,a
keyup,other,215322.705,a
keydown,other,215474.197,c
keyup,other,215557.785,c
keydown,space,215609.943,Key.space
keyup,space,215662.046,Key.space
keydown,other,215773.162,r
keyup,other,215859.944,r
keydown,other,215947.467,l
keyup,other,215999.539,l
keydown,other,216022.548,e
keyup,other,216126.909,e
keydown,other,216267.509,a
keyup,other,216395.611,a
keydown,other,216416.270,n
keyup,other,216468.262,n
keydown,other,216502.376,c
keyup,other,216641.972,c
keydown,other,217006.258,Key.backspace
keyup,other,217066.900,Key.backspace
keydown,other,217129.598,Key.backspace
keyup,other,217177.963,Key.backspace
keydown,other,217248.407,Key.backspace
keyup,other,217300.530,Key.backspace
keydown,other,217380.527,Key.backspace
keyup,other,217432.558,Key.backspace
keydown,other,217519.051,Key.backspace
keyup,other,217573.014,Key.backspace
keydown,other,217619.204,a
keyup,other,217651.303,v
keydown,other,218183.138,Key.backspace
keyup,other,218247.107,Key.backspace
keydown,other,218315.017,Key.backspace
keyup,other,218389.030,Key.backspace
keydown,other,218831.652,v
keyup,other,218935.488,v
keydown,other,218975.435,n
keyup,other,219007.473,a
keydown,other,219106.632,c
keyup,other,219207.831,c
keydown,other,219455.618,Key.tab
keyup,other,219518.900,Key.tab
keydown,other,219881.806,Key.tab
keyup,other,219955.742,Key.tab
keydown,other,220255.545,Key.tab
keyup,other,220306.651,Key.tab
click,left_click,220873.461,left
click,left_click,220940.501,left
keydown,other,221174.038,Key.alt
keyup,other,221289.405,Key.backspace
keydown,other,221427.630,Key.shift
keyup,other,221607.185,Key.shift
keydown,other,221633.658,o
keyup,other,221685.454,o
keydown,other,221759.636,l
keyup,other,221822.359,l
keydown,other,221883.094,l
keyup,other,221946.710,l
keydown,other,222050.918,o
keyup,other,222122.900,o
keydown,other,222145.568,w
keyup,other,222239.695,w
keydown,other,222390.663,n
keyup,other,222463.034,n
keydown,space,222480.349,Key.space
keyup,space,222564.353,Key.space
keydown,other,222640.130,Key.shift
keyup,other,222761.321,Key.shift
keydown,other,222830.505,m
keyup,other,222888.798,m
keydown,other,222908.495,e
keyup,other,222996.800,e
keydown,other,223111.825,s
keyup,other,223236.075,s
keydown,other,224014.638,u
